고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량
테스시스템,목,20,프리미엄,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
토스,목,18,프리미엄,7:3,핀테크,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
토스증권,목,16,프리미엄,7:3,핀테크,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
투바이트,목,41,베이직,8:2,게임,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
퍼시픽자산운용,목,22,베이직,6:4,금융,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
퓨처플레이,목,33,프리미엄,6:4,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
프롬더레드,목,20,베이직,7:3,게임,2,고추장소고기볶음,한식,0.6,0.7,0.7,123,140
플랜얼라이언스,목,23,베이직,7:3,마케팅,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
플레이링스,목,20,베이직,7:3,게임,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
핀트,목,22,베이직,7:3,전자상거래,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
핏투게더,목,27,프리미엄,8:2,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,128,140
하이케어넷,목,16,프리미엄,7:3,의료,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
한국다이와,목,35,프리미엄,7:3,헬스케어,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
현대자산운용,목,135,베이직,7:3,금융,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
호텔가이드,목,34,프리미엄,6:4,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
휴이노,목,50,베이직,8:2,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
Gen.G,목,38,베이직,7:3,게임,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
NC문화재단,목,20,프리미엄,7:3,게임,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
ODK미디어,목,23,베이직,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
S2W,목,32,베이직,6:4,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
SJ E&M,목,27,베이직,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,133,140
강남서울글로벌안과,금,48,프리미엄,6:4,의료,4,팟타이,아시안,0.6,0.6,0.7,136,160
게임스프링,금,26,프리미엄,6:4,게임,4,팟타이,아시안,0.6,0.6,0.7,136,160
고등모터스,금,22,프리미엄,8:2,자동차,4,팟타이,아시안,0.6,0.6,0.7,130,160
골든듀,금,52,베이직,5:5,제조,4,팟타이,아시안,0.6,0.6,0.7,136,160
구름,금,39,베이직,6:4,IT,4,팟타이,아시안,0.6,0.6,0.7,123,160
국가인재개발원,금,30,베이직,5:5,행정,4,팟타이,아시안,0.6,0.6,0.7,130,160
긱블,금,28,프리미엄,5:5,엔터테인먼트,4,팟타이,아시안,0.6,0.6,0.7,136,160
긱스빈,금,21,베이직,7:3,전기전자,4,팟타이,아시안,0.6,0.6,0.7,128,160
네스필러피케이지,금,23,베이직,6:4,미용,4,팟타이,아시안,0.6,0.6,0.7,136,160
당근마켓,금,33,베이직,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,123,160
대상문화재단,금,18,베이직,5:5,장학재단,4,팟타이,아시안,0.6,0.6,0.7,136,160
더퍼스트터치,금,30,베이직,7:3,제조,4,팟타이,아시안,0.6,0.6,0.7,136,160
데이블,금,21,프리미엄,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,122,160
듀오톤,금,32,프리미엄,4:6,디자인,4,팟타이,아시안,0.6,0.6,0.7,136,160
디엔코리아,금,21,베이직,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
디캠프,금,18,베이직,7:3,컨설팅,4,팟타이,아시안,0.6,0.6,0.7,136,160
라포랩스,금,25,베이직,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
로지올,금,61,베이직,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
리벨리온,금,24,베이직,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
마스턴,금,110,프리미엄,7:3,금융,4,팟타이,아시안,0.6,0.6,0.7,130,160
마인드로직,금,17,베이직,5:5,IT,4,팟타이,아시안,0.6,0.6,0.7,128,160
마켓잇,금,48,베이직,7:3,마케팅,4,팟타이,아시안,0.6,0.6,0.7,136,160
메드트로닉,금,68,베이직,7:3,무역,4,팟타이,아시안,0.6,0.6,0.7,136,160
메쉬코리아,금,19,베이직,6:4,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
모빌,금,37,베이직,6:4,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
무궁화신탁,금,104,베이직,6:4,금융,4,팟타이,아시안,0.6,0.6,0.7,136,160
뱅크샐러드,금,44,베이직,6:4,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
버드뷰,금,30,베이직,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,130,160
버킷플레이스,금,117,베이직,5:5,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160
버튼,금,23,베이직,6:4,게임,4,팟타이,아시안,0.6,0.6,0.7,136,160
버핏서울,금,17,베이직,7:3,헬스케어,4,팟타이,아시안,0.6,0.6,0.7,136,160
부농,금,22,베이직,7:3,제조,4,팟타이,아시안,0.6,0.6,0.7,124,160
분당메모리얼파크,금,27,베이직,5:5,서비스,4,팟타이,아시안,0.6,0.6,0.7,133,160
뷰노,금,82,베이직,7:3,의료,4,팟타이,아시안,0.6,0.6,0.7,136,160
비트센싱,금,19,베이직,6:4,IT,4,팟타이,아시안,0.6,0.6,0.7,122,160
비헤이브글로벌,금,28,베이직,5:5,마케팅,4,팟타이,아시안,0.6,0.6,0.7,133,160
세종메디칼,금,25,베이직,7:3,의료,4,팟타이,아시안,0.6,0.6,0.7,126,160
세컨신드롬,금,21,베이직,6:4,임대,4,팟타이,아시안,0.6,0.6,0.7,130,160
소프트팩,금,48,베이직,3:7,식음료,4,팟타이,아시안,0.6,0.6,0.7,136,160
슈퍼진,금,15,베이직,7:3,게임,4,팟타이,아시안,0.6,0.6,0.7,131,160
메드트로닉,월,62,베이직,7:3,무역,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
메쉬코리아,월,18,베이직,6:4,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
모빌,월,34,베이직,6:4,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
무궁화신탁,월,95,베이직,6:4,금융,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
뱅크샐러드,월,40,베이직,6:4,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
버드뷰,월,27,베이직,7:3,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,125,140
버킷플레이스,월,107,베이직,5:5,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
버튼,월,22,베이직,6:4,게임,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
버핏서울,월,16,베이직,7:3,헬스케어,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
부농,월,20,베이직,7:3,제조,3,소고기고추장볶음,한식,0.7,0.5,0.5,119,140
분당메모리얼파크,월,25,베이직,5:5,서비스,3,소고기고추장볶음,한식,0.7,0.5,0.5,128,140
뷰노,월,75,베이직,7:3,의료,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
비트센싱,월,18,베이직,6:4,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,117,140
비헤이브글로벌,월,26,베이직,5:5,마케팅,3,소고기고추장볶음,한식,0.7,0.5,0.5,128,140
세종메디칼,월,23,베이직,7:3,의료,3,소고기고추장볶음,한식,0.7,0.5,0.5,121,140
